"campaignid","sample","sessile.invertebrates","macroalgae","NA","seagrasses","total.points.annotated","latitude","longitude","date.time","site","location","status","depth","successful.habitat.panoramic","observer.habitat.panoramic"
"2023-03_Augusta_stereo-BOSS","02",0,0,80,0,80,-34.55107167,114.9788883,"12/03/2023 3:16","South-west Corner Marine Park","Augusta","Fished",118,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","03",1,58,5,14,78,-34.49995,115.2833567,"9/03/2023 6:41","South-west Corner Marine Park","Augusta","Fished",41.7,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","04",4,41,7,28,80,-34.53566833,115.1766233,"10/03/2023 2:49","South-west Corner Marine Park","Augusta","Fished",47,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","05",0,78,0,0,78,-34.41403833,115.0713383,"10/03/2023 7:42","South-west Corner Marine Park","Augusta","Fished",38.4,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","09",1,0,77,0,78,-34.491145,114.9415467,"12/03/2023 1:55","South-west Corner Marine Park","Augusta","Fished",99.7,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","10",44,1,35,0,80,-34.43617833,114.9139583,"12/03/2023 1:03","South-west Corner Marine Park","Augusta","Fished",88.7,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","11",37,43,0,0,80,-34.51879432,115.021466,"12/03/2023 5:53","South-west Corner Marine Park","Augusta","Fished",55.9,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","12",15,65,0,0,80,-34.476094,115.178727,"9/03/2023 4:36","South-west Corner Marine Park","Augusta","Fished",37.1,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","13",3,71,3,1,78,-34.50388833,115.2187883,"9/03/2023 23:17","South-west Corner Marine Park","Augusta","Fished",48.5,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","14",12,0,67,0,79,-34.52622114,114.9813493,"12/03/2023 2:59","South-west Corner Marine Park","Augusta","Fished",89.4,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","15",3,41,13,21,78,-34.48613667,115.2987517,"9/03/2023 6:59","South-west Corner Marine Park","Augusta","Fished",41.5,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","16",68,0,1,0,69,-34.36130833,114.894275,"11/03/2023 23:33","South-west Corner Marine Park","Augusta","Fished",62.8,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","18",3,36,11,28,78,-34.59642667,115.264075,"10/03/2023 1:23","South-west Corner Marine Park","Augusta","Fished",46.8,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","21",5,54,2,15,76,-34.49892,115.0787517,"10/03/2023 4:23","South-west Corner Marine Park","Augusta","Fished",48.4,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","22",3,56,0,0,59,-34.45855,115.1168717,"9/03/2023 3:45","South-west Corner Marine Park","Augusta","Fished",37.4,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","23",3,65,0,0,68,-34.5211,115.2785833,"10/03/2023 0:10","South-west Corner Marine Park","Augusta","Fished",31.6,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","24",0,35,45,0,80,-34.481045,115.0413083,"10/03/2023 5:47","South-west Corner Marine Park","Augusta","Fished",57.5,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","26",22,56,0,2,80,-34.53635167,115.0486883,"12/03/2023 5:33","South-west Corner Marine Park","Augusta","Fished",52.8,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","27",2,37,38,0,77,-34.49372667,115.1288333,"10/03/2023 3:16","South-west Corner Marine Park","Augusta","Fished",51.7,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","28",45,26,9,0,80,-34.453761,114.9716755,"10/03/2023 6:24","South-west Corner Marine Park","Augusta","Fished",59,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","29",0,0,80,0,80,-34.45355667,114.904035,"12/03/2023 1:20","South-west Corner Marine Park","Augusta","Fished",115,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","30",0,64,16,0,80,-34.49374667,115.1691133,"10/03/2023 2:27","South-west Corner Marine Park","Augusta","Fished",51.1,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","31",2,43,3,32,80,-34.52109333,115.2489317,"9/03/2023 23:51","South-west Corner Marine Park","Augusta","Fished",43.9,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","34",16,0,63,0,79,-34.50869333,114.9515067,"12/03/2023 2:41","South-west Corner Marine Park","Augusta","Fished",105,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","36",1,66,4,8,79,-34.34385667,114.9239967,"11/03/2023 23:11","South-west Corner Marine Park","Augusta","Fished",50.5,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","37",21,0,57,0,78,-34.57127333,115.0313383,"12/03/2023 3:39","South-west Corner Marine Park","Augusta","Fished",89.1,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","38",25,48,7,0,80,-34.43377167,114.9637317,"12/03/2023 6:38","South-west Corner Marine Park","Augusta","Fished",55,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","39",0,50,3,27,80,-34.51636333,115.068895,"10/03/2023 4:04","South-west Corner Marine Park","Augusta","Fished",47.9,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","40",0,9,3,50,62,-34.39377,115.28136,"9/03/2023 8:00","South-west Corner Marine Park","Augusta","Fished",31.2,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","41",0,61,19,0,80,-34.47626333,115.133335,"9/03/2023 4:13","South-west Corner Marine Park","Augusta","Fished",51.7,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","45",5,65,7,2,79,-34.46140167,114.9964567,"10/03/2023 6:09","South-west Corner Marine Park","Augusta","Fished",51.4,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","47",6,35,13,6,60,-34.483775,115.2340567,"9/03/2023 5:13","South-west Corner Marine Park","Augusta","Fished",46.8,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","48",9,6,28,22,65,-34.43118667,115.2863683,"9/03/2023 7:26","South-west Corner Marine Park","Augusta","Fished",40,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","51",0,54,14,12,80,-34.53882,115.2739317,"10/03/2023 0:25","South-west Corner Marine Park","Augusta","Fished",45.4,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","53",0,40,39,0,79,-34.534015,115.2135183,"10/03/2023 1:54","South-west Corner Marine Park","Augusta","Fished",46.9,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","54",0,62,37,0,99,-34.41128333,114.9487283,"12/03/2023 7:03","South-west Corner Marine Park","Augusta","Fished",55.7,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","55",2,64,7,6,79,-34.56129,115.133955,"12/03/2023 4:50","South-west Corner Marine Park","Augusta","Fished",47,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","57",31,0,49,0,80,-34.60115167,115.0810467,"12/03/2023 4:26","South-west Corner Marine Park","Augusta","Fished",75.4,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","60",5,33,13,25,76,-34.58880833,115.2789183,"10/03/2023 1:10","South-west Corner Marine Park","Augusta","Fished",46.7,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","61",11,0,68,0,79,-34.46622333,114.9363667,"12/03/2023 1:39","South-west Corner Marine Park","Augusta","Fished",87.4,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","62",1,13,66,0,80,-34.44644167,114.9889733,"10/03/2023 6:46","South-west Corner Marine Park","Augusta","Fished",52.2,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","63",4,2,33,28,67,-34.40644167,115.306315,"9/03/2023 7:43","South-west Corner Marine Park","Augusta","Fished",35.4,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","66",1,49,0,22,72,-34.51623,115.2637083,"9/03/2023 23:39","South-west Corner Marine Park","Augusta","Fished",36.8,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","68",7,60,2,9,78,-34.418925,115.0789033,"10/03/2023 7:32","South-west Corner Marine Park","Augusta","Fished",42,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","69",20,37,21,0,78,-34.56616167,115.06389,"12/03/2023 5:17","South-west Corner Marine Park","Augusta","Fished",66.4,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","70",1,9,67,3,80,-34.40141833,115.0389567,"12/03/2023 7:24","South-west Corner Marine Park","Augusta","Fished",47.7,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","72",0,74,0,6,80,-34.55117333,115.3137717,"10/03/2023 0:44","South-west Corner Marine Park","Augusta","Fished",42.5,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","76",0,67,12,0,79,-34.36871333,114.9385917,"11/03/2023 23:55","South-west Corner Marine Park","Augusta","Fished",51,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","78",9,40,25,3,77,-34.518735,115.20389,"10/03/2023 2:08","South-west Corner Marine Park","Augusta","Fished",49.8,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","80",23,49,2,0,74,-34.46379667,115.1166017,"9/03/2023 3:56","South-west Corner Marine Park","Augusta","Fished",45.6,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","81",0,67,0,0,67,-34.516755,115.2834817,"9/03/2023 6:26","South-west Corner Marine Park","Augusta","Fished",25.7,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","82",39,0,40,0,79,-34.40377833,114.9011783,"12/03/2023 0:38","South-west Corner Marine Park","Augusta","Fished",80.9,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","83",5,58,1,16,80,-34.48614,115.00873,"12/03/2023 6:10","South-west Corner Marine Park","Augusta","Fished",51.5,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","85",16,0,64,0,80,-34.59619333,115.0335633,"12/03/2023 4:02","South-west Corner Marine Park","Augusta","Fished",110,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","86",4,54,8,13,79,-34.47359,115.2462067,"9/03/2023 5:31","South-west Corner Marine Park","Augusta","Fished",43.9,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","90",11,47,0,0,58,-34.481246,115.481246,"9/03/2023 4:29","South-west Corner Marine Park","Augusta","Fished",47,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","SS-02",0,0,80,0,80,-33.96279667,114.7539633,"11/03/2023 1:22","South-west Corner Marine Park","Augusta","Fished",62.5,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","SS-04",0,67,5,5,77,-33.95900667,114.87134,"11/03/2023 1:59","South-west Corner Marine Park","Augusta","Fished",42.6,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","SS-06",3,0,76,0,79,-33.98940833,114.9157383,"11/03/2023 2:22","South-west Corner Marine Park","Augusta","Fished",48.9,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","SS-07",0,74,0,0,74,-33.98009569,114.9633258,"11/03/2023 2:47","South-west Corner Marine Park","Augusta","Fished",33,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","SS-10",0,39,0,27,66,-34.13006333,114.9263633,"11/03/2023 4:07","South-west Corner Marine Park","Augusta","No-take",35.7,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","SS-15",16,0,63,0,79,-34.39046833,114.8787583,"12/03/2023 0:21","South-west Corner Marine Park","Augusta","Fished",93.1,"Yes","Molly Gerrans"
"2023-03_Augusta_stereo-BOSS","SS-16",0,9,65,0,74,-34.50449,114.995255,"12/03/2023 2:17","South-west Corner Marine Park","Augusta","Fished",69,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","01",0,43,0,28,71,-34.12221667,114.90727,"13/03/2023 9:54","South-west Corner Marine Park","South-west Corner","No-take",41.2,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","12",0,73,0,7,80,-34.128065,114.9236917,"13/03/2023 9:22","South-west Corner Marine Park","South-west Corner","No-take",36.9,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","13",2,29,3,30,64,-34.11460333,114.9064717,"13/03/2023 10:13","South-west Corner Marine Park","South-west Corner","No-take",45.7,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","35",2,58,1,17,78,-34.13310333,114.9172617,"13/03/2023 8:54","South-west Corner Marine Park","South-west Corner","No-take",40.8,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","40",7,35,8,5,55,-34.09857667,114.839905,"19/03/2023 8:25","South-west Corner Marine Park","South-west Corner","No-take",47.3,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","45",2,7,69,0,78,-34.08682,114.7882067,"19/03/2023 9:39","South-west Corner Marine Park","South-west Corner","No-take",62.8,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","52",0,28,51,0,79,-34.10958,114.927455,"13/03/2023 10:36","South-west Corner Marine Park","South-west Corner","No-take",46.9,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","53",6,60,4,1,71,-34.13397833,114.9095067,"13/03/2023 8:41","South-west Corner Marine Park","South-west Corner","No-take",44.4,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","54",3,48,24,1,76,-34.11656833,114.91198,"13/03/2023 10:03","South-west Corner Marine Park","South-west Corner","No-take",43.9,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","55",3,41,6,25,75,-34.13017,114.9292283,"13/03/2023 9:06","South-west Corner Marine Park","South-west Corner","No-take",40.4,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","60",1,37,37,0,75,-34.130085,114.82755,"19/03/2023 7:46","South-west Corner Marine Park","South-west Corner","No-take",51.9,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","62",7,49,2,4,62,-34.12390333,114.90797,"13/03/2023 9:46","South-west Corner Marine Park","South-west Corner","No-take",42.1,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","67",1,58,0,13,72,-34.12702667,114.9211683,"13/03/2023 9:29","South-west Corner Marine Park","South-west Corner","No-take",39.9,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","79",1,46,0,23,70,-34.124835,114.9113967,"13/03/2023 9:38","South-west Corner Marine Park","South-west Corner","No-take",40.2,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","90",0,31,49,0,80,-34.09033667,114.78764,"19/03/2023 9:29","South-west Corner Marine Park","South-west Corner","No-take",64.1,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C001",8,44,2,9,63,-34.12193,114.834825,"19/03/2023 8:00","South-west Corner Marine Park","South-west Corner","No-take",48.1,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C002",3,60,8,9,80,-34.10976667,114.8396517,"19/03/2023 8:13","South-west Corner Marine Park","South-west Corner","No-take",47.7,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C003",0,28,22,4,54,-34.09513333,114.8330817,"19/03/2023 8:36","South-west Corner Marine Park","South-west Corner","No-take",47.1,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C004",3,47,4,8,62,-34.09471,114.8219767,"19/03/2023 8:51","South-west Corner Marine Park","South-west Corner","No-take",50.4,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C005",1,67,8,2,78,-34.0899,114.8081317,"19/03/2023 9:06","South-west Corner Marine Park","South-west Corner","No-take",52,"Yes","Molly Gerrans"
"2023-03_SwC_BOSS","C006",12,42,19,0,73,-34.09075,114.7993733,"19/03/2023 9:18","South-west Corner Marine Park","South-west Corner","No-take",54.7,"Yes","Molly Gerrans"
